Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
nvtec.at,"1M+","NVTec Neurovascular Technologies GmbH","Mariahilfer Str. 136/1.10","Vienna","","1150","Austria","","","","0 - 25","$0 - 1M","No","","Research","Datanyze"
bigiris.com,"1M+","BigIris Inc","","","","","","","","","0 - 25","$0 - 1M","","","Information Services","Datanyze"
corelabpartners.com,"1M+","CoreLab Partners, Inc.","11820 NORTHUP WAY","BELLEVUE","WA","98005","United States","1(609)936-2600","","","250 - 1000","$50 - 100M","No","","","Datanyze"
image32.com,"1M+","image32","1149 Chestnut Street Suite 10","Menlo Park","CA","94025","United States","1(800)330-6314","info@image32.com","image32","0 - 25","$0 - 1M","No","","Hospital & Health Care","Datanyze"
ezhealthcarejobs.com,"1M+","Easy Medical Employment Solutions, LLC","","","","","United States","","","","0 - 25","$0 - 1M","","","Staffing and Recruiting","Datanyze"
witkowskico.com,"1M+","witkowski & co. architecture","","","","","United States","","","","0 - 25","$0 - 1M","","","Architecture & Planning","Datanyze"
morpheusimaging.com,"1M+","MORPHEUS MEDICAL, INC.","414 Brannan Street","San Francisco","CA","94107","United States","1(650)319-7230","john@morpheusmedical.net","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
citiscan.com.au,"1M+","CitiScan Radiology Pty Ltd","Level 2, 141 Queen Street","Brisbane","QLD","4000","Australia","61730353700","","","25 - 100","$1 - 10M","No","","Hospital & Health Care","Datanyze"
peakehealthcare.com,"1M+","Peake Healthcare Innovations","P.O. Box 9100","Melbourne","FL","32902","United States","","","PeakeHealthcare","100 - 250","$10 - 50M","No","","Information Technology and Services","Datanyze"
rocjoi.com,"1M+","ROCJOI MEDICAL IMAGING, LLC","7 LATHAM PARKWAY","ELKINS PARK","PA","19027","United States","1(215)680-0683","info@rjmimaging.com","","0 - 25","$0 - 1M","","","","Datanyze"
geneva-imaging-center.com,"1M+","GENEVA IMAGING CENTER","21 rue chantepoulet","Geneve","Geneve","1200","Switzerland","41225455050","frank.pilleul@yahoo.fr","","0 - 25","$0 - 1M","","","Medical Practice","Datanyze"
nuonimaging.ca,"1M+","Nuon Imaging Inc","101-18224 105 Avenue","Edmonton","AB","T5S 2R5","Canada","1(780)953-7372","markjlittle@shaw.ca","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
gelsight.com,"1M+","GelSight","60 LANDSEER ST","WEST ROXBURY","MA","02132","United States","1(617)460-7604","bill@gelsight.com","gelsight","0 - 25","$0 - 1M","No","Yes","Mechanical or Industrial Engineering","Datanyze"
azetech.com,"1M+","AZE TECHNOLOGY, INC.","1 BROADWAY 14TH FL","CAMBRIDGE","MA","02142","United States","1(617)475-1502","nicole.mauro@azetech.com","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
empiresons.com.au,"1M+","Empire Sons","","","","","Australia","","","","0 - 25","$0 - 1M","No","","Mechanical or Industrial Engineering","Datanyze"
upsamplesoftware.com,"1M+","Upsample Software, LLC","","","","","United States","","","","0 - 25","$0 - 1M","","","Computer Software","Datanyze"
misisyringes.com,"1M+","MEDICAL IMAGING SOLUTIONS INTERNATIONAL","550 FOREST AVE STE 16","PLYMOUTH","MI","48170","United States","1(800)603-6501","phanley@misisyringes.com","","0 - 25","$0 - 1M","","","","Datanyze"
cimtec-canada.ca,"1M+","Centre for Imaging Technology Commercialization (CIMTEC)","Suite 130, 100 Collip Circle","London","ON","N6G 4X8","Canada","","","cimtecimaging","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
pacifichealthusa.com,"1M+","Pacific Healthcare Imaging, LLC","233 A Street Suite 703","San Diego","CA","92101","United States","1(619)810-0020","","PacificHealth1","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
epipole.com,"1M+","Epipole Ltd.","Liberty House Business Centre, 15 Cromarty Campus,","Rosyth","Fife,","KY11 9PF.","United Kingdom","","","","0 - 25","$0 - 1M","No","","Research","Datanyze"
qaservices.net,"1M+","Quality Assurance Services Inc","1500 Via Hacienda","Chula Vista","CA","91913","United States","1(619)482-1003","","","0 - 25","$0 - 1M","No","","","Datanyze"
imeka.ca,"1M+","Imeka","3IT - P2 - B. 4.33 3000 Blvd Universite","Sherbrooke","QC","J1K 0A5","Canada","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
texrad.com,"1M+","TexRAD Ltd","Grange Park, Broadway|Bourn","Cambridge","","CB23 2TA","United Kingdom","441954718042","mike@cambridge-imaging.co.uk","texRadLimited","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
dev-tank.com,"1M+","Dev tank","","","","","Czech Republic","","","","0 - 25","$0 - 1M","No","","Computer Software","Datanyze"
datastreammed.com,"1M+","DATASTREAM MEDICAL IMAGING SYSTEMS, INC.","125 BUSINESS CENTER DR UNIT H","CORONA","CA","92880","United States","1(310)544-2666","jerrym@datastreammed.com","","0 - 25","$0 - 1M","","","","Datanyze"
