Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
meyerinst.com,"846006","Meyer Instruments Inc","1304 Langham Creek Drive Suite 235","Houston","TX","77084","United States","1(281)579-0342","jdm@meyerinst.com","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
definiens.com,"2852739","Definiens","1719 State Route 10 Suite 118","Parsippany","NJ","07054","United States","","jkoge@definiens.com","DefiniensLife","100 - 250","$10 - 50M","No","Yes","Medical Devices","Datanyze"
bioimagene.com,"2906766","BioImagene","919, Hermosa Ct","Sunnyvale","CA","94085","United States","1(408)207-4200","info@bioimagene.com","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
jadaktech.com,"3052410","Jadak Technologies","7279 William Barry Boulevard","North Syracuse","NY","13212","United States","1(315)701-0678","info@jadaktech.com","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
radnostics.com,"1M+","Radnostics","63 White rd","Scarsdale","NY","10583","United States","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
icadmed.com,"1M+","iCAD","98 Spit Brook Road Suite 100","Nashua","NH","03062","United States","1(603)882-5200","sales@icadmed.com","icadmed","100 - 250","$10 - 50M","Yes","Yes","Medical Devices","Datanyze"
medimagingsolutions.com,"1M+","Medical Imaging Solutions","","","MN","","United States","1(507)281-2117","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
exini.com,"1M+","EXINI Diagnostics AB","IDEON GATEWAY ScheelevÃ¤gen 27","Lund","","22370","Sweden","","","","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
pixience.com,"1M+","Pixience","12 rue Louis Courtois de ViÃ§ose Batiment 3","Toulouse","","31100","France","33980903131","v02gz396sal46i3fpht2@x.o-w-o.info","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
resonancehealth.com,"1M+","Resonance Health Ltd","216 Stirling Highway","Claremont","Western Australia","6010","Australia","61892865300","lizad@resonancehealth.com","","25 - 100","$0 - 1M","Yes","","Medical Devices","Datanyze"
eyeic.com,"1M+","EyeIC","200 Barr Harbor Dr Suite 400","W Conshohocken","PA","19428","United States","1(610)941-2931","","","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
cellavision.com,"1M+","CellaVision, Inc","CellaVision AB Ideon Science Park","Lund","","SE-223 70","Sweden","","marcie.coyne@cellavision.com","","100 - 250","$10 - 50M","Yes","","Medical Devices","Datanyze"
perspectum-diagnostics.com,"1M+","Perspectum Diagnostics Ltd","Perspectum Diagnostics Ltd Oxford Centre for Innovation","Oxford","Oxfordshire","OX1 1BY","United Kingdom","","","LiverMultiScan","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
quorumtechnologies.com,"1M+","Quorum Technologies","4673 Wellington Rd. #35 RR#6","GUELPH","ON","N1H 6J3","Canada","1(519)824-0854","john@quorumtechnologies.com","Quorum_Tech","","","","","Medical Devices","Datanyze"
straximages.com,"1M+","Straximages","Level 12, Suite 2 470 Collins Street","Melbourne","Victoria","3000","Australia","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
arcadialab.com,"1M+","ARCADIALAB","Via Castiglione 23","Bologna","BO","40124","Italy","393389935941","lanconelli@bo.infn.it","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
vidadiagnostics.com,"1M+","VIDA Diagnostics","2500 Crosspark Road W150 BioVentures Center","Coralville","IA","52241","United States","1(855)900-8432","info@vidadiagnostics.com","VIDADiagnostics","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
microscopebiz.com,"1M+","MicroscopeBiz Co., Ltd.","No. 158, Qingshuiting East Road, Jiangning District","Nanjing","Jiangsu","","China","","","","100 - 250","$10 - 50M","","","Medical Devices","Datanyze"
quantib.com,"1M+","Quantib BV","Westblaak 98","Rotterdam","ZH","3012 KM","Netherlands","31108411749","","wironiessen","0 - 25","$0 - 1M","Yes","","Medical Devices","Datanyze"
scanco.ch,"1M+","Scanco Medical","Fabrikweg 2","BrÃ¼ttisellen","","8306","Switzerland","","rkapadia@scanco.ch","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
cortechslabs.com,"1M+","CorTechs Labs","4690 Executive Dr., Suite 250","San Diego","CA","92121","United States","1(858)459-9700","info@cortechslabs.com","CorTechs_Labs","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
