Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
sunshineheart.com,"840148","Sunshine Heart","12988 Valley View Road","Eden Prairie","MN","55344","United States","1(952)345-4200","ann.ivey@SunshineHeart.com","","25 - 100","$1 - 10M","Yes","Yes","Medical Devices","Datanyze"
procyrion.com,"6146290","Procyrion","3900 Essex Lane Suite 250","Houston","TX","77027","United States","1(713)621-2350","will@procyrion.com","","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
aethlonmedical.com,"1M+","Aethlon Medical","Suite 660, 8910 University Center Lane","San Diego","CA","92122","United States","1(858)459-7800","rhtullis@aethlonmedical.com","","0 - 25","$0 - 1M","Yes","Yes","Medical Devices","Datanyze"
vucomp.com,"1M+","VuCOMP","2500 Dallas Parkway Suite 500","Plano","TX","75093","United States","1(866)266-7462","info@vucomp.com","VuCOMPInc","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
ceswire.com,"1M+","Cutting Edge Superconductors, Inc.","La Quinta Industrial Park, Calle Balboa 177","Mayaguez","PR","00680","Puerto Rico","","","cesuperconduct","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
arcmedicaldevices.com,"1M+","ARC Medical Devices","102 - 2386 East Mall","Vancouver","BC","V6T 1Z3","Canada","1(604)222-9577","info@arcmeddev.com","arcmeddev","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
theraclion.com,"1M+","Theraclion","102 rue Etienne Dolet","Malakoff","","92240","France","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
biophotas.com,"1M+","BioPhotas, Inc.","250 El Camino Real #110","Tustin","CA","92780","United States","1(714)838-1956","","BioPhotas","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
vasopticmedical.com,"1M+","Vasoptic Medical, Inc.","9250 BENDIX RD NORTH SUITE 510","COLUMBIA","MD","21045","United States","1(410)730-1896","jason.brooke@vasopticmedical.com","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
circadiance.com,"1M+","Circadiance","1060 Corporate Lane","Export","PA","15632","United States","1(888)825-9640","sjohnson@circadiance.com","SleepWeaver","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
idealmedtech.com,"1M+","Ideal Medical Technologies","725 Merrimon Ave #8756","Asheville","NC","28814","United States","","","IdealMedTech","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
conformis.com,"1M+","ConforMIS","28 Crosby Drive","Bedford","MA","01730","United States","1(781)345-9001","william.carboni@conformis.com","ConforMIS","250 - 1000","$50 - 100M","No","Yes","Medical Devices","Datanyze"
nascentsurgical.com,"1M+","Nascent Surgical","6585 Edenvale Blvd Suite #150","Eden Prairie","MN","55346","United States","1(952)345-1112","info@nascentsurgical.com","NascentSurgical","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
sunevamedical.com,"1M+","Suneva Medical","5870 Pacific Center Blvd","San Diego","CA","92121","United States","1(858)550-9999","info@sunevamedical.com","","100 - 250","$10 - 50M","No","Yes","Medical Devices","Datanyze"
eventcardiogroup.com,"1M+","Event Cardio Group Inc.","","","","","Canada","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
