Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
terarecon.com,"809169","TeraRecon, Inc.","4000 East Third Ave Suite 2000","Foster City","CA","94404","United States","1(650)372-1100","greg@terarecon.com","","250 - 1000","$50 - 100M","No","","Medical Devices","Datanyze"
sonitracksystems.com,"1M+","SoniTrack Systems","395 Page Mill Road Suite 180 C/O StartX","Palo Alto","CA","94306","United States","1(336)558-4929","jeff@sonitracksystems.com","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
algoritmfabriken.se,"1M+","AlgoritmFabriken AB","","","","","","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
medimagingsolutions.com,"1M+","Medical Imaging Solutions","","","MN","","United States","1(507)281-2117","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
ct-imaging.de,"1M+","CT Imaging","HenkestraÃŸe 91","Erlangen","","91052","Germany","","","","25 - 100","$1 - 10M","Yes","","Medical Devices","Datanyze"
perceive3d.com,"1M+","Perceive3D","na","Coimbra","NA","3030","Portugal","","vitor.pianist@gmail.com","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
c1-tech.com,"1M+","C1 Technologies, Inc.","3685 OLDE WILLOW DR","BEAVERCREEK","OH","45431","United States","1(937)912-9305","john_rosenstengel@c1-tech.com","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
realtimetomography.com,"1M+","Real Time Tomography","1709 Balsam Lane","Villanova","PA","19085","United States","1(484)234-2228","","RealTimeTomo","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
huac-healthcare.com,"1M+","Tianjin HUAC Healthcare Technology Co., Ltd","","","","","","","","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
volumeelements.com,"1M+","Volume Elements","","","","","United States","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
mint-medical.de,"1M+","Mint Medical","Friedrich-Ebert-Str. 2","Dossenheim / Heidelberg","","69221","Germany","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
tonsonlabs.com,"1M+","Tonson-Labs","HaOreg","Kadima","","60920","Israel","","","tonson","25 - 100","$1 - 10M","Yes","","Medical Devices","Datanyze"
rayenceusa.com,"1M+","Rayence Inc","2200 Fletcher Ave. Suite 705B","Fort Lee","NJ","07024","United States","1(201)585-0290","","Rayence","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
svmii.com,"1M+","Silicon Valley Medical Instrument","47697 Westinghouse Dr., Ste. 101","Fremont","CA","94550","United States","1(510)226-1500","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
digitalmedics.de,"1M+","Digital Medics GmbH","","","","","Germany","","","","25 - 100","$1 - 10M","Yes","","Medical Devices","Datanyze"
medisspecials.com,"1M+","Medis specials","","","","","Netherlands","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
diacardio.com,"1M+","Diacardio","Omer Industrial park","Omer","","","Israel","9723-648-9668","hilagold@actcom.com","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
pixience.com,"1M+","Pixience","12 rue Louis Courtois de ViÃ§ose Batiment 3","Toulouse","","31100","France","33980903131","v02gz396sal46i3fpht2@x.o-w-o.info","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
hailabs.com,"1M+","Hightech American Indus Labs","320 Massachusetts Ave.","Lexington","MA","02420","United States","1(781)862-9884","staff@hailabs.com","hailabs","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
