Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
clearcanvas.ca,"2179486","ClearCanvas Inc.","1920-439 University Ave.","Toronto","ON","M5G 1Y8","Canada","1(647)547-8006","GVHLDPRXP@WHOISPRIVACYPROTECT.COM","ClearCanvasInc","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
perimetermed.com,"2334988","Perimeter Medical Imaging","555 Richmond Street West","Toronto","ON","M5V 3B1","Canada","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
christieinnomed.com,"3961920","Christie InnoMed Inc.","516 rue Dufour","Saint-Eustache","QC","J7R 0C3","Canada","","","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
bioticimaging.ca,"1M+","Biomedical Translational Imaging Centre (BIOTIC)","3900-1796 Summer Street","Halifax","NS","B3H 3A7","Canada","","","BIOTICImaging","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
cerebraldiagnostics.com,"1M+","Cerebral Diagnostics","810 Queen Street East","Toronto","ON","M4M 1H7","Canada","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
intelerad.com,"1M+","Intelerad Medical Systems","895 de la Gauchetire Street W. Suite 400","Montreal","QC","H3B 4G1","Canada","1(407)313-4804","hugh.douthit@intelerad.com","intelerad","250 - 1000","$50 - 100M","No","","Medical Devices","Datanyze"
nuonimaging.ca,"1M+","Nuon Imaging Inc","101-18224 105 Avenue","Edmonton","AB","T5S 2R5","Canada","1(780)953-7372","markjlittle@shaw.ca","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
synaptivemedical.com,"1M+","Synaptive Medical","101 College St, Suite 200","Toronto","ON","M5G 1L7","Canada","","","","100 - 250","$1 - 10M","No","","Medical Devices","Datanyze"
canxray.com,"1M+","Canadian X-Ray Supplies","124 Garden Avenue","North Vancouver","BC","V7P 3H2","Canada","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
cimtec-canada.ca,"1M+","Centre for Imaging Technology Commercialization (CIMTEC)","Suite 130, 100 Collip Circle","London","ON","N6G 4X8","Canada","","","cimtecimaging","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
imeka.ca,"1M+","Imeka","3IT - P2 - B. 4.33 3000 Blvd Universite","Sherbrooke","QC","J1K 0A5","Canada","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
mysimms.com,"1M+","SIMMS","Suite 701, 161 Eglinton Ave East","Toronto","ON","M4P 1J5","Canada","","","mysimms","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
siaronmedical.com,"1M+","Siaron Medical Ltd.","3202 - 1211 Melville Street","Vancouver","BC","V6E 0A7","Canada","","","SiaronMedical","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
cadensimaging.com,"1M+","Cadens Medical Imaging","116 Principale, suite 200","Granby","QC","J2G 2V2","Canada","","","cadensimaging","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
huron-technologies.com,"1M+","Huron Technologies International Inc.","Unit B6 550 Parkside Drive","Waterloo","ON","N2L 5V4","Canada","1(519)886-9013","avirk@huron-technologies.com","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
mediphan.com,"1M+","Mediphan","555 Legget Drive Tower A, Suite 305","Ottawa","ON","K2K 2X3","Canada","","","mediphan","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
