Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
invuity.com,"1537748","Invuity","39 Stillman St","San Francisco","CA","94107","United States","1(866)711-7768","info@invuity.com","Invuity","100 - 250","$1 - 10M","No","Yes","Medical Devices","Datanyze"
channelmedsystems.com,"9633469","Channel Medsystems","101 Mississippi Street","San Francisco","CA","94107","United States","1(415)546-0204","info@channelmedsystems.com","","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
predictive-medical.com,"1M+","Predictive Medical Technologies","2030 3rd Street, #14","San Francisco","CA","94107","United States","","","","0 - 25","$0 - 1M","Yes","","Medical Devices","Datanyze"
cellsighttech.com,"1M+","CellSight Technologies Inc.","185 BERRY STREET SUITE 350","SAN FRANCISCO","CA","94107","United States","1(650)799-1589","squezada@cellsighttech.com","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
morpheusmedical.net,"1M+","MORPHEUS MEDICAL, INC.","414 Brannan Street","San Francisco","CA","94107","United States","1(650)319-7230","john@morpheusmedical.net","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
aqueductmedical.com,"1M+","Aqueduct Medical","665 Third Street Suite 20","San Francisco","CA","94107","United States","1(415)896-0140","info@aqueductmedical.com","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
medweb.com,"1M+","Medweb","667 Folsom St.","San Francisco","CA","94107","United States","1(415)541-9980","PETE@MEDWEB.COM","medweb","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
profusacorp.com,"1M+","Profusa","1219 - 18th Street","San Francisco","CA","94107","United States","1(408)499-9447","info@profusacorp.com","","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
morpheusimaging.com,"1M+","MORPHEUS MEDICAL, INC.","414 Brannan Street","San Francisco","CA","94107","United States","1(650)319-7230","john@morpheusmedical.net","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
bespokeinnovations.com,"1M+","Bespoke Innovations","Ten South Park Street Suite No. 7","San Francisco","CA","94107","United States","1(415)439-0139","","BespokeInc","0 - 25","$1 - 10M","No","Yes","Medical Devices","Datanyze"
savingssquaredmedical.com,"1M+","Savings Squared Medical","695 5th Street #12","San Francisco","CA","94107","United States","1(415)744-4404","jschechtman@savingssquaredmedical.com","","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
wave80.com,"1M+","Wave 80 Biosciences Inc","2325 3rd Street Suite 215","San Francisco","CA","94107","United States","1(415)487-7976","richard.goozh@wave80.com","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
advamed2010.com,"1M+","Life Sciences Conference Group, LLC","","San Francisco","CA","94107","United States","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
vitalmedicals.com,"1M+","VitalMedicals","425 2nd St, Suite 100","San Francisco","CA","94107","United States","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
